date,ethena_susde_ethereum_apy,frax_sfrax_ethereum_apy,frax_sfraxusd_ethereum_apy,makerdao_sdai_ethereum_apy,realworld_wstusr_ethereum_apy,sky_susds_ethereum_apy,syrup_susdc_ethereum_apy
2025-06-11,7.111,,8.149083404778246,2.32,7.703,4.75,11.732
2025-06-10,7.123333333333332,,8.149083404778246,2.32,6.475238095238096,4.75,6.533913043478259
2025-06-09,7.138749999999999,,8.149083404778246,2.5104545454545453,7.395625,4.75,6.437272727272727
2025-06-08,7.18608695652174,,8.149083404778246,2.61,3.142222222222222,4.75,9.003636363636362
2025-06-07,7.201666666666667,,8.149083404778246,2.61,2.562631578947369,4.75,7.081304347826087
2025-06-06,7.232727272727272,,8.149083404778246,2.61,10.967777777777778,4.75,7.762916666666665
2025-06-05,7.241000000000001,,8.149083404778246,2.61,8.114117647058823,4.75,9.219565217391304
2025-06-04,7.343333333333333,,8.149083404778246,2.61,9.176153846153845,4.75,7.521666666666668
2025-06-03,7.488260869565218,,7.149294334586398,2.61,5.367647058823529,4.75,9.132083333333334
2025-06-02,7.711818181818183,,7.149294334586398,2.61,10.991052631578947,4.75,7.085555555555556
2025-06-01,7.885833333333333,,7.149294334586398,2.61,8.017391304347825,4.75,6.678636363636364
2025-05-31,8.098333333333331,,7.149294334586398,2.61,3.9382608695652173,4.75,7.351666666666667
2025-05-30,8.361249999999998,,7.149294334586398,2.61,11.97818181818182,4.75,7.241666666666666
2025-05-29,6.974166666666668,,7.149294334586398,2.61,11.716521739130435,4.742916666666665,7.3208333333333355
2025-05-28,7.25217391304348,,7.149294334586398,2.61,7.315652173913043,4.739999999999998,7.376363636363636
2025-05-27,7.460000000000001,,8.399027261277325,2.61,9.054347826086957,4.739999999999999,7.365416666666665
2025-05-26,7.4873913043478275,,8.399027261277325,2.61,6.29,4.739999999999998,7.340416666666667
2025-05-25,7.502999999999998,,8.399027261277325,2.61,12.291428571428572,4.739999999999998,7.438749999999999
2025-05-24,7.5133333333333345,,8.399027261277325,2.61,5.9818181818181815,4.739999999999999,7.249166666666665
2025-05-23,7.727619047619048,,8.399027261277325,2.61,305.7973684210526,4.739999999999998,7.714999999999997
2025-05-22,7.958695652173911,,8.399027261277325,2.61,240.0435294117647,4.739999999999999,7.218333333333333
2025-05-21,8.049130434782612,,8.399027261277325,2.61,77.63,4.739999999999999,7.093333333333333
2025-05-20,8.299545454545456,,4.999653509057356,2.61,19.47947368421053,4.739999999999998,7.705882352941178
2025-05-19,8.42380952380952,,4.999653509057356,2.8749999999999996,37.811904761904756,4.739999999999998,7.291904761904763
2025-05-18,8.466666666666665,,4.999653509057356,2.899999999999999,26.87857142857143,4.739999999999999,7.580666666666665
2025-05-17,8.536666666666667,,4.999653509057356,2.899999999999999,10.8215,4.739999999999999,7.521999999999999
2025-05-16,8.885833333333334,,4.999653509057356,2.899999999999999,21.6495,4.739999999999998,7.3771428571428554
2025-05-15,5.329583333333333,4.6,4.999653509057356,2.8999999999999995,3206.669565217391,4.739999999999998,6.85375
2025-05-14,5.226666666666666,4.6,4.999653509057356,2.899999999999999,85.4604761904762,4.739999999999999,7.530454545454545
2025-05-13,5.271249999999999,,4.599706544565763,2.899999999999999,5192.083333333333,4.739999999999999,7.178333333333332
2025-05-12,5.405833333333333,,4.599706544565763,3.0804347826086955,11920.00727272727,4.7337500000000015,7.459999999999999
2025-05-11,5.485,,4.599706544565763,3.189999999999999,140.975,4.730000000000002,8.559473684210525
2025-05-10,5.506521739130435,,4.599706544565763,3.189999999999999,22.423636363636362,4.730000000000002,7.97421052631579
2025-05-09,5.4608333333333325,,4.599706544565763,3.1899999999999995,745.4186363636363,4.730000000000003,7.2595454545454565
2025-05-08,4.595555555555556,,4.599706544565763,3.189999999999999,63.785000000000004,4.730000000000003,7.985416666666669
2025-05-07,4.517499999999998,,4.599706544565763,3.1899999999999995,22.004761904761907,4.730000000000002,8.089473684210526
2025-05-06,4.517499999999998,,4.749687077368581,3.189999999999999,49.453529411764706,4.730000000000003,7.265714285714285
2025-05-05,4.5095652173913034,,4.749687077368581,3.375416666666666,41.236666666666665,4.730000000000003,7.831428571428572
2025-05-04,4.464444444444443,,4.749687077368581,3.4799999999999986,1678.2755555555555,4.730000000000002,7.378
2025-05-03,4.435714285714286,,4.749687077368581,3.479999999999999,4.274705882352941,4.730000000000003,7.9653846153846155
2025-05-02,4.391249999999999,,4.749687077368581,3.48,0.0,4.730000000000003,7.396842105263158
2025-05-01,5.106190476190475,,4.749687077368581,3.4799999999999986,10.079473684210527,4.730000000000003,7.803333333333334
2025-04-30,5.257499999999999,,4.749687077368581,3.4799999999999986,72386.618125,4.730000000000003,7.420999999999999
2025-04-29,5.257619047619049,,4.749687077368581,3.4799999999999986,3.00875,4.730000000000003,7.396666666666667
2025-04-28,5.267499999999999,,4.749687077368581,3.6495454545454535,7.41875,4.730000000000002,7.815625000000001
2025-04-27,5.266666666666666,,4.749687077368581,3.770000000000001,0.0,4.730000000000003,7.464666666666667
2025-04-26,5.267499999999997,,4.749687077368581,3.7694736842105265,0.0,4.730000000000002,7.47125
2025-04-25,5.263333333333333,,4.749687077368581,3.7700000000000005,0.0,4.7254545454545465,7.552666666666665
2025-04-24,5.391764705882352,,4.749687077368581,3.7700000000000014,3.8880000000000003,4.72,8.004500000000002
2025-04-23,5.404347826086955,,4.749687077368581,3.770000000000001,0.0,4.72,8.290833333333333
2025-04-22,5.400000000000001,,4.999653509057356,3.77,46.506,4.72,8.233333333333333
