date,protocol,asset,chain,best_apy_base,tvl,tvl_usd,apy_base,apy_reward
2024-07-10,ethena-usde,SUSDE,Ethereum,15.67227,1527669899,1527669899,15.67227,0.0
2024-07-11,fluid-lending,USDT,Ethereum,12.11914,65054114,65054114,12.11914,0.0
2024-07-12,fluid-lending,USDT,Ethereum,12.57131,62714238,62714238,12.57131,0.0
2024-07-13,fluid-lending,USDT,Ethereum,12.2391,64803569,64803569,12.2391,0.0
2024-07-14,fluid-lending,USDT,Ethereum,12.19846,64631107,64631107,12.19846,0.0
2024-07-15,fluid-lending,USDT,Ethereum,12.13404,65104234,65104234,12.13404,0.0
2024-07-16,fluid-lending,USDT,Ethereum,11.70035,67517412,67517412,11.70035,0.0
2024-07-17,fluid-lending,USDT,Ethereum,11.70031,67382809,67382809,11.70031,0.0
2024-07-18,fluid-lending,USDT,Ethereum,11.73981,67133299,67133299,11.73981,0.0
2024-07-19,morpho-blue,GTDAICORE,Ethereum,13.55763,164948,164948,13.55763,0.0
2024-07-20,fluid-lending,USDT,Ethereum,12.2674,64654086,64654086,12.2674,0.0
2024-07-21,aave-v3,USDT,Avalanche,16.77419,2293870,2293870,16.77419,0.0
2024-07-22,fluid-lending,USDT,Ethereum,12.29435,64255353,64255353,12.29435,0.0
2024-07-23,fluid-lending,USDT,Ethereum,11.83156,66635345,66635345,11.83156,0.0
2024-07-24,morpho-blue,GTDAICORE,Ethereum,29.21954,158443,158443,29.21954,0.0
2024-07-25,ethena-usde,SUSDE,Ethereum,12.18478,1556001305,1556001305,12.18478,0.0
2024-07-26,ethena-usde,SUSDE,Ethereum,12.23029,1550526725,1550526725,12.23029,0.0
2024-07-27,morpho-blue,USUALUSDC+,Ethereum,20.38838,6028716,6028716,20.38838,0.0
2024-07-28,aave-v3,USDC,Base,21.0856,2009958,2009958,21.0856,0.0
2024-07-29,morpho-blue,USUALUSDC+,Ethereum,26.63577,11842309,11842309,26.63577,0.0
2024-07-30,morpho-blue,USUALUSDC+,Ethereum,13.1467,17125169,17125169,13.1467,0.0
2024-07-31,ethena-usde,SUSDE,Ethereum,12.43764,1526084708,1526084708,12.43764,0.0
2024-08-01,morpho-blue,USUALUSDC+,Ethereum,17.25944,18864571,18864571,17.25944,0.0
2024-08-02,ethena-usde,SUSDE,Ethereum,13.66388,1516548366,1516548366,13.66388,0.0
2024-08-03,ethena-usde,SUSDE,Ethereum,13.66923,1515990538,1515990538,13.66923,0.0
2024-08-04,ethena-usde,SUSDE,Ethereum,13.72357,1510348530,1510348530,13.72357,0.0
2024-08-05,morpho-blue,USUALUSDC+,Ethereum,42.90945,18346402,18346402,42.90945,0.0
2024-08-06,ethena-usde,SUSDE,Ethereum,14.82302,1405086787,1405086787,14.82302,0.0
2024-08-07,ethena-usde,SUSDE,Ethereum,14.90979,1397439422,1397439422,14.90979,0.0
2024-08-08,morpho-blue,USUALUSDC+,Ethereum,30.42228,22001624,22001624,30.42228,0.0
