date,protocol,asset,chain,best_apy_reward,tvl,tvl_usd,apy_base,apy_reward
2024-06-06,morpho-blue,GTUSDCCORE,Ethereum,1.11687,2213621,2213621,29.4298,1.11687
2024-06-07,morpho-blue,GTUSDCCORE,Ethereum,1.71863,2685301,2685301,22.39534,1.71863
2024-06-08,morpho-blue,GTUSDCCORE,Ethereum,1.40027,4204093,4204093,17.93347,1.40027
2024-06-09,morpho-blue,GTUSDCCORE,Ethereum,2.2781,5543265,5543265,44.07832,2.2781
2024-06-10,aave-v2,USDC,Ethereum,0.0,20573553,20573553,3.60717,0.0
2024-06-11,morpho-blue,GTUSDCCORE,Ethereum,0.22551,4871001,4871001,22.77288,0.22551
2024-06-12,morpho-blue,GTUSDCCORE,Ethereum,0.06866,6571632,6571632,18.32828,0.06866
2024-06-13,aave-v2,USDC,Ethereum,0.0,15390765,15390765,8.89802,0.0
2024-06-14,aave-v2,USDC,Ethereum,0.0,20685801,20685801,3.59695,0.0
2024-06-15,aave-v2,USDC,Ethereum,0.0,17261888,17261888,6.26456,0.0
2024-06-16,aave-v2,USDC,Ethereum,0.0,17192867,17192867,6.31696,0.0
2024-06-17,aave-v2,USDC,Ethereum,0.0,16781025,16781025,6.81768,0.0
2024-06-18,aave-v2,USDC,Ethereum,0.0,16603812,16603812,7.03625,0.0
2024-06-19,aave-v2,USDC,Ethereum,0.0,16288332,16288332,7.43564,0.0
2024-06-20,aave-v2,USDC,Ethereum,0.0,16702566,16702566,6.89322,0.0
2024-06-21,morpho-blue,MWUSDC,Base,19.4551,5722554,5722554,0.1329,19.4551
2024-06-22,morpho-blue,MWUSDC,Base,15.42845,7102345,7102345,0.12796,15.42845
2024-06-23,morpho-blue,MWUSDC,Base,15.08419,7527929,7527929,0.38025,15.08419
2024-06-24,morpho-blue,MWUSDC,Base,14.81489,7603463,7603463,0.34068,14.81489
2024-06-25,morpho-blue,MWUSDC,Base,15.82037,7231709,7231709,0.39802,15.82037
2024-06-26,morpho-blue,MWUSDC,Base,16.15336,6886928,6886928,0.46304,16.15336
2024-06-27,aave-v2,USDC,Ethereum,0.0,14569582,14569582,9.82599,0.0
2024-06-28,morpho-blue,MWUSDC,Base,9.27381,12080363,12080363,0.20614,9.27381
2024-06-29,morpho-blue,MWUSDC,Base,9.21792,11736469,11736469,0.25718,9.21792
2024-06-30,morpho-blue,MWUSDC,Base,9.23082,11493428,11493428,0.32315,9.23082
2024-07-01,morpho-blue,MWUSDC,Base,9.539,11536854,11536854,0.37874,9.539
2024-07-02,morpho-blue,MWUSDC,Base,9.50619,11571288,11571288,0.41262,9.50619
2024-07-03,morpho-blue,MWUSDC,Base,9.66185,10873591,10873591,0.52045,9.66185
2024-07-04,morpho-blue,MWUSDC,Base,9.29526,10574906,10574906,0.74985,9.29526
2024-07-05,morpho-blue,MWUSDC,Base,8.37072,10722646,10722646,1.17588,8.37072
2024-07-06,morpho-blue,MWUSDC,Base,7.50764,11761843,11761843,1.84803,7.50764
2024-07-07,morpho-blue,MWUSDC,Base,7.17868,11833550,11833550,0.72484,7.17868
2024-07-08,morpho-blue,MWUSDC,Base,6.95595,11675033,11675033,1.00438,6.95595
2024-07-09,morpho-blue,MWUSDC,Base,6.31571,12359996,12359996,1.19769,6.31571
2024-07-10,morpho-blue,MWUSDC,Base,6.38444,12402753,12402753,1.37525,6.38444
2024-07-11,morpho-blue,MWUSDC,Base,5.142,15314312,15314312,0.59879,5.142
2024-07-12,morpho-blue,GTUSDCCORE,Ethereum,0.56054,25291285,25291285,6.23432,0.56054
2024-07-13,morpho-blue,MWUSDC,Base,4.80647,15775839,15775839,0.58886,4.80647
2024-07-14,morpho-blue,MWUSDC,Base,4.77527,17082162,17082162,0.65974,4.77527
2024-07-15,morpho-blue,MWUSDC,Base,4.65014,17541862,17541862,0.56666,4.65014
2024-07-16,morpho-blue,GTUSDCCORE,Ethereum,4.23719,24003022,24003022,2.83995,4.23719
2024-07-17,morpho-blue,MWUSDC,Base,3.29701,17717817,17717817,2.50746,3.29701
2024-07-18,morpho-blue,MWUSDC,Base,3.33547,18480900,18480900,2.67421,3.33547
2024-07-19,aave-v2,USDC,Ethereum,0.0,21033043,21033043,3.03557,0.0
2024-07-20,morpho-blue,GTUSDCCORE,Ethereum,0.62146,23969638,23969638,5.98779,0.62146
2024-07-21,morpho-blue,GTUSDCCORE,Ethereum,0.62071,23952658,23952658,5.89043,0.62071
2024-07-22,morpho-blue,GTUSDCCORE,Ethereum,0.6082,23603240,23603240,6.76526,0.6082
2024-07-23,morpho-blue,GTUSDCCORE,Ethereum,0.60188,23428310,23428310,6.40762,0.60188
2024-07-24,morpho-blue,GTUSDCCORE,Ethereum,0.57191,24327263,24327263,6.64631,0.57191
2024-07-25,morpho-blue,GTUSDCCORE,Ethereum,0.36187,28231931,28231931,6.32907,0.36187
2024-07-26,morpho-blue,GTUSDCCORE,Ethereum,0.38223,28154171,28154171,6.29824,0.38223
2024-07-27,morpho-blue,GTUSDCCORE,Ethereum,0.50523,28164231,28164231,6.34617,0.50523
2024-07-28,morpho-blue,GTUSDCCORE,Ethereum,0.53993,28192163,28192163,6.27181,0.53993
2024-07-29,morpho-blue,GTUSDCCORE,Ethereum,0.66795,28617108,28617108,5.98999,0.66795
2024-07-30,morpho-blue,GTUSDCCORE,Ethereum,0.73359,28614666,28614666,6.62795,0.73359
2024-07-31,morpho-blue,GTUSDCCORE,Ethereum,0.8213,27117672,27117672,11.09314,0.8213
2024-08-01,morpho-blue,GTUSDCCORE,Ethereum,0.77476,30817093,30817093,8.29441,0.77476
2024-08-02,morpho-blue,GTUSDCCORE,Ethereum,0.60759,31119619,31119619,6.57315,0.60759
2024-08-03,morpho-blue,GTUSDCCORE,Ethereum,0.56312,32373169,32373169,6.32763,0.56312
2024-08-04,morpho-blue,GTUSDCCORE,Ethereum,0.53907,32474400,32474400,6.1597,0.53907
2024-08-05,morpho-blue,GTUSDCCORE,Ethereum,3.32392,32980379,32980379,17.50456,3.32392
2024-08-06,morpho-blue,GTUSDCCORE,Ethereum,0.89614,37759360,37759360,8.60712,0.89614
2024-08-07,morpho-blue,GTUSDCCORE,Ethereum,1.42283,35851770,35851770,4.43613,1.42283
2024-08-08,morpho-blue,GTUSDCCORE,Ethereum,1.55276,35983167,35983167,4.6519,1.55276
2024-08-09,morpho-blue,GTUSDCCORE,Ethereum,1.54995,35835738,35835738,4.71818,1.54995
2024-08-10,morpho-blue,GTUSDCCORE,Ethereum,1.6795,35848820,35848820,4.70162,1.6795
2024-08-11,morpho-blue,GTUSDCCORE,Ethereum,1.63899,35868474,35868474,4.57138,1.63899
2024-08-12,morpho-blue,GTUSDCCORE,Ethereum,1.14691,35701668,35701668,4.49047,1.14691
