,aave-v2_USDC_Ethereum,aave-v3_DAI_Ethereum,aave-v3_PT-EUSDE-14AUG2025_Ethereum,aave-v3_PT-SUSDE-31JUL2025_Ethereum,aave-v3_PT-USDE-31JUL2025_Ethereum,aave-v3_SUSDE_Ethereum,aave-v3_USDC_Arbitrum,aave-v3_USDC_Avalanche,aave-v3_USDC_Base,aave-v3_USDC_Ethereum,aave-v3_USDC_Polygon,aave-v3_USDE_Ethereum,aave-v3_USDS_Ethereum,aave-v3_USDTB_Ethereum,aave-v3_USDT_Avalanche,aave-v3_USDT_Ethereum,aave-v3_USDT_Polygon,ethena-usde_SUSDE_Ethereum,euler-v2_USDC_Ethereum,euler-v2_USDT_Avalanche,fluid-lending_SUSDE_Ethereum,fluid-lending_USDC_Arbitrum,fluid-lending_USDC_Base,fluid-lending_USDC_Ethereum,fluid-lending_USDC_Polygon,fluid-lending_USDT_Ethereum,fluid-lending_USDT_Polygon,morpho-blue_BBQUSDC_Ethereum,morpho-blue_CSUSDC_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_GTUSDCF_Ethereum,morpho-blue_GTUSDC_Ethereum,morpho-blue_GTUSDT_Ethereum,morpho-blue_HUSDC_Ethereum,morpho-blue_HYPERUSDC_Ethereum,morpho-blue_MWUSDC_Base,morpho-blue_PT-SUSDE-31JUL2025_Ethereum,morpho-blue_PT-SYRUPUSDC-28AUG2025_Ethereum,morpho-blue_PT-USDS-14AUG2025_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_SMUSDC_Base,morpho-blue_SPARKUSDC_Base,morpho-blue_SPDAI_Ethereum,morpho-blue_STEAKUSDC_Ethereum,morpho-blue_STEAKUSDT_Ethereum,morpho-blue_SUSDE_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum,morpho-blue_VBSHUSDC_Ethereum
2024-06-16,6.31696,5.83334,0.0,0.0,0.0,0.0,7.08069,8.81914,5.61798,7.24708,7.0545,3.03678,0.0,0.0,6.45352,6.85518,6.43766,16.88487,0.0,0.0,0.0,0.0,0.0,9.58563,0.0,12.8929,0.0,0.0,0.0,14.36342,0.0,7.372,7.30706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.07044,7.37156,7.77684,0.0,0.0,0.0,0.0
2024-06-17,6.81768,5.50146,0.0,0.0,0.0,0.0,7.05243,7.22757,6.15444,7.15784,7.1833,3.13137,0.0,0.0,6.19789,6.81018,6.07071,16.80761,0.0,0.0,0.0,0.0,0.0,9.46241,0.0,12.724,0.0,0.0,0.0,14.23593,0.0,7.15688,7.87706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0382,7.15455,7.81937,0.0,0.0,0.0,0.0
2024-06-18,7.03625,5.71173,0.0,0.0,0.0,0.0,7.64835,7.06351,6.53218,6.72609,7.12641,4.15604,0.0,0.0,6.28984,6.55649,6.16543,16.72533,0.0,0.0,0.0,0.0,0.0,9.78264,0.0,13.42586,0.0,0.0,0.0,13.28537,0.0,7.33374,16.26153,0.0,0.0,0.02752,0.0,0.0,0.0,0.0,0.0,0.0,10.85581,7.32561,17.81354,0.0,0.0,0.0,0.0
2024-06-19,7.43564,5.83229,0.0,0.0,0.0,0.0,7.10065,7.12651,6.02858,6.86607,7.09384,4.29049,0.0,0.0,7.10853,6.53168,6.33669,16.6374,0.0,0.0,0.0,0.0,0.0,10.29672,0.0,13.25217,0.0,0.0,0.0,15.70987,0.0,7.95089,10.22615,0.0,0.0,0.03991,0.0,0.0,0.0,0.0,0.0,0.0,11.07098,7.95116,10.21006,0.0,0.0,0.0,0.0
2024-06-20,6.89322,5.89798,0.0,0.0,0.0,0.0,7.20924,7.08973,6.02316,7.19988,6.93333,4.16419,0.0,0.0,6.45859,6.17518,6.35566,10.63614,0.0,0.0,0.0,0.0,0.0,11.29061,0.0,15.9068,0.0,0.0,0.0,15.61716,0.0,8.02173,9.32516,0.0,0.0,0.07451,0.0,0.0,0.0,0.0,0.0,0.0,12.06384,8.02207,9.32642,0.0,0.0,0.0,0.0
2024-06-21,5.86033,5.91376,0.0,0.0,0.0,0.0,4.19227,6.81453,6.18221,7.13966,6.61331,3.81004,0.0,0.0,6.19879,4.82948,6.14425,10.67666,0.0,0.0,0.0,0.0,0.0,11.41499,0.0,15.66351,0.0,0.0,0.0,13.16506,0.0,7.26726,11.80212,0.0,0.0,19.588,0.0,0.0,0.0,0.0,0.0,0.0,10.76387,7.27845,17.57748,0.0,0.0,0.0,0.0
2024-06-22,6.164,5.85617,0.0,0.0,0.0,0.0,4.38325,6.81032,6.30588,6.97633,6.42242,3.2013,0.0,0.0,6.36706,4.85682,6.17822,10.64818,0.0,0.0,0.0,0.0,0.0,12.1602,0.0,14.11149,0.0,0.0,0.0,13.24539,0.0,7.32128,8.02778,0.0,0.0,15.55641,0.0,0.0,0.0,0.0,0.0,0.0,10.52992,7.33483,7.82917,0.0,0.0,0.0,0.0
2024-06-23,8.28267,5.85947,0.0,0.0,0.0,0.0,4.64066,7.03911,5.68565,7.43405,6.41703,3.70649,0.0,0.0,6.21491,4.87886,6.05605,10.68723,0.0,0.0,0.0,0.0,0.0,11.88239,0.0,14.43235,0.0,0.0,0.0,12.87077,0.0,7.00677,8.43724,0.0,0.0,15.46444,0.0,0.0,0.0,0.0,0.0,0.0,10.18417,6.98871,8.26651,0.0,0.0,0.0,0.0
2024-06-24,6.7801,5.90683,0.0,0.0,0.0,0.0,4.88254,7.02445,6.04147,7.32917,6.12329,3.60453,0.0,0.0,5.73741,4.93514,6.11533,10.75506,0.0,0.0,0.0,0.0,0.0,11.28549,0.0,15.4998,0.0,0.0,0.0,13.34111,0.0,7.17595,6.47719,0.0,0.0,15.15558,0.0,0.0,0.0,0.0,0.0,0.0,10.26134,7.14955,6.12339,0.0,0.0,0.0,0.0
2024-06-25,6.73061,5.91773,0.0,0.0,0.0,0.0,4.9445,6.45777,5.89602,7.18243,5.8936,3.50117,0.0,0.0,5.94305,4.82432,6.16035,10.65084,0.0,0.0,0.0,0.0,0.0,11.3411,0.0,15.326,0.0,0.0,0.0,12.46198,0.0,7.35405,6.46557,0.0,0.0,16.21839,0.0,0.0,0.0,0.0,0.0,0.0,9.41805,7.35676,6.49287,0.0,0.0,0.0,0.0
