date,aave-v3_USDT_Ethereum,morpho-blue_SPARKUSDC_Base,aave-v3_USDC_Ethereum,fluid-lending_USDC_Ethereum,fluid-lending_USDT_Ethereum,morpho-blue_STEAKUSDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_STEAKUSDT_Ethereum,aave-v3_USDC_Arbitrum,aave-v3_USDTB_Ethereum,morpho-blue_GTUSDC_Ethereum,morpho-blue_HUSDC_Ethereum,aave-v3_USDC_Avalanche,morpho-blue_SMUSDC_Base,morpho-blue_VBSHUSDC_Ethereum,morpho-blue_GTUSDCF_Ethereum,morpho-blue_CSUSDC_Ethereum,fluid-lending_USDC_Arbitrum,aave-v3_USDC_Base,morpho-blue_MWUSDC_Base,aave-v3_USDT_Avalanche,morpho-blue_SUSDS_Ethereum,fluid-lending_SUSDS_Arbitrum
2024-06-27,461295353,0.0,199713790,64740757,53099481,48728629.0,0.0,0.0,0.0,0.0,13752569.0,4780554.0,47472082,0.0,15909189.0,0.0,6528341.0,0.0,0.0,0.0,0.0,0.0,5359751,7865347.0,4779071.0,0.0,0.0
2024-06-28,464542033,0.0,193948405,66375315,59319091,48458848.0,0.0,0.0,0.0,0.0,14820031.0,4783570.0,46203912,0.0,15721551.0,0.0,6210817.0,0.0,0.0,0.0,0.0,0.0,4847649,12080363.0,5537023.0,0.0,0.0
2024-06-29,493294161,0.0,196734790,69175234,61187474,48605313.0,0.0,0.0,0.0,0.0,14615281.0,4779379.0,37807322,0.0,15793566.0,0.0,6197236.0,0.0,0.0,0.0,0.0,0.0,5684438,11736469.0,5785714.0,0.0,0.0
2024-06-30,472094768,0.0,171077445,67408408,63314596,51418015.0,0.0,0.0,0.0,0.0,15776851.0,4782649.0,33338282,0.0,15796472.0,0.0,5791115.0,0.0,0.0,0.0,0.0,0.0,6532607,11493428.0,6106672.0,0.0,0.0
2024-07-01,380934176,0.0,171086813,66487191,64030843,50308443.0,0.0,0.0,0.0,0.0,16643666.0,4745320.0,28764911,0.0,15913900.0,0.0,6816927.0,0.0,0.0,0.0,0.0,0.0,6242782,11536854.0,5861400.0,0.0,0.0
2024-07-02,372221802,0.0,163338071,69417800,66205374,49529641.0,0.0,0.0,0.0,0.0,18162022.0,4752466.0,29166595,0.0,15914244.0,0.0,6259954.0,0.0,0.0,0.0,0.0,0.0,6507128,11571288.0,4774577.0,0.0,0.0
2024-07-03,378816336,0.0,184220592,69270866,65073403,49869437.0,0.0,0.0,0.0,0.0,17909463.0,4764642.0,33078639,0.0,15951094.0,0.0,7709938.0,0.0,0.0,0.0,0.0,0.0,4597253,10873591.0,5309737.0,0.0,0.0
2024-07-04,393713584,0.0,200783335,68477491,63891334,45396781.0,0.0,0.0,0.0,0.0,20049890.0,4928788.0,27981696,0.0,14976664.0,0.0,7743419.0,0.0,0.0,0.0,0.0,0.0,6464651,10574906.0,5309746.0,0.0,0.0
2024-07-05,402969336,0.0,319096190,69779390,61210423,46245079.0,0.0,0.0,0.0,0.0,20114073.0,4736768.0,30738925,0.0,19408554.0,0.0,9320992.0,0.0,0.0,0.0,0.0,0.0,9276199,10722646.0,4522210.0,0.0,0.0
2024-07-06,405321706,0.0,214096568,69766703,62891217,46220798.0,0.0,0.0,0.0,0.0,21238760.0,4726157.0,32810165,0.0,19393914.0,0.0,9632644.0,0.0,0.0,0.0,0.0,0.0,8725350,11761843.0,4521016.0,0.0,0.0
2024-07-07,400121268,0.0,228998362,70632163,60141806,46338914.0,0.0,0.0,0.0,0.0,21619568.0,4751792.0,37436645,0.0,19430805.0,0.0,10106154.0,0.0,0.0,0.0,0.0,0.0,9159199,11833550.0,3968065.0,0.0,0.0
2024-07-08,412743527,0.0,337665090,73869627,61504212,46301574.0,0.0,0.0,0.0,0.0,21362894.0,4738853.0,38744163,0.0,19256423.0,0.0,9688274.0,0.0,0.0,0.0,0.0,0.0,6615759,11675033.0,3919359.0,0.0,0.0
2024-07-09,410320245,0.0,357787092,77079757,59811310,46224226.0,0.0,0.0,0.0,0.0,23363456.0,4736554.0,40506021,0.0,18043094.0,0.0,9318758.0,0.0,0.0,0.0,0.0,0.0,7356808,12359996.0,4297449.0,0.0,0.0
2024-07-10,356390177,0.0,363560832,76879003,62272221,46281506.0,0.0,0.0,0.0,0.0,25030147.0,4766418.0,35509860,0.0,19091234.0,0.0,9337553.0,0.0,0.0,0.0,0.0,0.0,9764807,12402753.0,4307254.0,0.0,0.0
