,aave-v3_PT-EUSDE-14AUG2025_Ethereum,aave-v3_PT-SUSDE-31JUL2025_Ethereum,aave-v3_PT-USDE-31JUL2025_Ethereum,aave-v3_SUSDE_Ethereum,aave-v3_USDC_Ethereum,aave-v3_USDE_Ethereum,aave-v3_USDT_Ethereum,ethena-usde_SUSDE_Ethereum,fluid-lending_USDC_Ethereum,fluid-lending_USDT_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_PT-SYRUPUSDC-28AUG2025_Ethereum,morpho-blue_PT-USDS-14AUG2025_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_SPARKUSDC_Base,morpho-blue_SPDAI_Ethereum,morpho-blue_STEAKUSDC_Ethereum,morpho-blue_STEAKUSDT_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum
2024-07-03,0.0,0.0,0.0,0.0,184220592,18029152,378816336,1542673923,69270866,65073403,0.0,17909463.0,0.0,0.0,0.0,0.0,501602854.0,49869437.0,4764642.0,0.0,0.0
2024-07-04,0.0,0.0,0.0,0.0,200783335,18554354,393713584,1531081404,68477491,63891334,0.0,20049890.0,0.0,0.0,0.0,0.0,500459712.0,45396781.0,4928788.0,0.0,0.0
2024-07-05,0.0,0.0,0.0,0.0,319096190,16382130,402969336,1521906664,69779390,61210423,0.0,20114073.0,0.0,0.0,0.0,0.0,500266471.0,46245079.0,4736768.0,0.0,0.0
2024-07-06,0.0,0.0,0.0,0.0,214096568,15987956,405321706,1526438590,69766703,62891217,0.0,21238760.0,0.0,0.0,0.0,0.0,498805409.0,46220798.0,4726157.0,0.0,0.0
2024-07-07,0.0,0.0,0.0,0.0,228998362,16306774,400121268,1524971504,70632163,60141806,0.0,21619568.0,0.0,0.0,0.0,0.0,501577298.0,46338914.0,4751792.0,0.0,0.0
2024-07-08,0.0,0.0,0.0,0.0,337665090,16165723,412743527,1524057880,73869627,61504212,0.0,21362894.0,0.0,0.0,0.0,0.0,501657119.0,46301574.0,4738853.0,0.0,0.0
2024-07-09,0.0,0.0,0.0,0.0,357787092,15989988,410320245,1523395682,77079757,59811310,0.0,23363456.0,0.0,0.0,0.0,0.0,499243778.0,46224226.0,4736554.0,0.0,0.0
2024-07-10,0.0,0.0,0.0,0.0,363560832,16169633,356390177,1527669899,76879003,62272221,0.0,25030147.0,0.0,0.0,0.0,0.0,501890988.0,46281506.0,4766418.0,0.0,0.0
2024-07-11,0.0,0.0,0.0,0.0,358907651,16068364,344706819,1541758827,70624608,65054114,0.0,23870616.0,0.0,0.0,0.0,0.0,499114084.0,47754004.0,4747631.0,0.0,0.0
2024-07-12,0.0,0.0,0.0,0.0,348018563,15796931,343974506,1544358266,70770836,62714238,0.0,25291285.0,0.0,0.0,0.0,0.0,501255772.0,51721688.0,5257103.0,0.0,0.0
2024-07-13,0.0,0.0,0.0,0.0,307483154,16327176,346771467,1555366503,78235700,64803569,0.0,25319515.0,0.0,0.0,0.0,0.0,500098752.0,51692805.0,6364675.0,0.0,0.0
2024-07-14,0.0,0.0,0.0,0.0,299318204,16361774,349713590,1545697244,68266957,64631107,0.0,24669508.0,0.0,0.0,0.0,0.0,500402397.0,51708150.0,6152011.0,0.0,0.0
2024-07-15,0.0,0.0,0.0,0.0,277248636,17667537,286554644,1547996993,72355815,65104234,0.0,24851671.0,0.0,0.0,0.0,0.0,500303524.0,52057289.0,6152639.0,0.0,0.0
2024-07-16,0.0,0.0,0.0,0.0,289726926,17493759,285989845,1551581929,71193663,67517412,0.0,24003022.0,0.0,0.0,0.0,0.0,499998168.0,49684906.0,6112321.0,0.0,0.0
2024-07-17,0.0,0.0,0.0,0.0,292197006,15969995,307275908,1549411137,67535098,67382809,0.0,22043796.0,0.0,0.0,0.0,0.0,500858998.0,48818629.0,6118968.0,0.0,0.0
2024-07-18,0.0,0.0,0.0,0.0,275054877,16229970,294186215,1549573219,67487766,67133299,0.0,22054181.0,0.0,0.0,0.0,0.0,501701383.0,47929196.0,6109398.0,0.0,0.0
