pool,avg_apy,avg_apy_base,avg_apy_reward,avg_apy_total,var_apy,var_apy_base,var_apy_reward,var_apy_total
aave-v3_USDC_Arbitrum,5.297093342465754,5.290488465753425,0.006604849315068494,5.297093315068493,6.879193323790996,6.810659434261926,0.003961581097573389,6.879193090166178
aave-v3_USDC_Avalanche,4.11014366197183,4.11014366197183,0.0,4.11014366197183,3.334125322129923,3.334125322129923,0.0,3.334125322129923
aave-v3_USDC_Base,5.626949835616439,5.626949835616439,0.0,5.626949835616439,11.17996011188404,11.17996011188404,0.0,11.17996011188404
aave-v3_USDC_Ethereum,5.596703342465753,5.596703342465753,0.0,5.596703342465753,12.523210238667922,12.523210238667922,0.0,12.523210238667922
aave-v3_USDC_Polygon,4.4728824109589045,4.4728824109589045,0.0,4.4728824109589045,8.80894773207494,8.80894773207494,0.0,8.80894773207494
aave-v3_USDTB_Ethereum,0.06759000000000001,0.06759000000000001,0.0,0.06759000000000001,0.0008160800000000003,0.0008160800000000003,0.0,0.0008160800000000003
aave-v3_USDT_Avalanche,3.8769893427230047,3.8769893427230047,0.0,3.8769893427230047,3.124426699468434,3.124426699468434,0.0,3.124426699468434
aave-v3_USDT_Ethereum,4.868824493150685,4.868824493150685,0.0,4.868824493150685,7.324979635423713,7.324979635423713,0.0,7.324979635423713
aave-v3_USDT_Polygon,5.601263589041095,5.601263589041095,0.0,5.601263589041095,6.818847456250545,6.818847456250545,0.0,6.818847456250545
euler-v2_USDC_Avalanche,9.071636521739132,8.303390217391303,0.7682456521739133,9.071635869565219,5.812206563840965,5.322579918179953,0.6639323546606763,5.812202796691449
euler-v2_USDC_Base,5.998117,2.7432079999999988,3.2549089999999996,5.998117,3.69618390564931,0.24782205732,4.096444621423103,3.696183351028621
euler-v2_USDC_Ethereum,7.670437132352942,7.670437132352942,0.0,7.670437132352942,13.347838430770235,13.347838430770235,0.0,13.347838430770235
euler-v2_USDT_Avalanche,9.351719565217392,9.351719565217392,0.0,9.351719565217392,6.427565654306474,6.427565654306474,0.0,6.427565654306474
euler-v2_USDT_Ethereum,7.329385205479452,7.152372191780822,0.17701301369863015,7.329385205479452,112.78775297935348,112.65204377586215,1.727791291597298,112.78775297935348
fluid-lending_USDC_Arbitrum,8.693205128205129,4.089615384615385,4.603589743589745,8.693205128205129,9.509334318256851,10.27648440079234,1.4563235391218223,9.509334318256851
fluid-lending_USDC_Base,9.02111111111111,4.618376068376068,4.402735042735043,9.02111111111111,14.736553266571292,15.652615377278895,0.9553178093246762,14.736553266571288
fluid-lending_USDC_Ethereum,9.380321424657534,7.358211835616438,2.022109589041096,9.380321424657534,12.245404822574338,13.35006785392162,2.861614493451754,12.245404822574338
fluid-lending_USDC_Polygon,6.733793103448275,0.07942528735632186,6.654367816091955,6.733793103448275,5.021516840417,0.0015008286554397219,4.93281093290564,5.021516840417
fluid-lending_USDT_Ethereum,9.766849561643836,7.592575589041097,2.1742739726027396,9.766849561643836,15.516741192259698,17.33613925224615,3.38808113352401,15.516741192259698
fluid-lending_USDT_Polygon,7.638045977011496,0.02816091954022989,7.609885057471265,7.638045977011496,7.395176369954559,0.0021291365944934512,7.359319754076447,7.395176369954559
morpho-blue_9SUSDC11CORE_Ethereum,5.731007553191489,4.887235425531915,0.8437718085106382,5.731007234042553,3.922076321489648,3.707154512790677,0.20058142247518873,3.922077292437428
morpho-blue_APRUSDC_Ethereum,9.032209662162161,8.21486108108108,0.8173489189189189,9.032210000000001,19.26351763968084,17.49146472864372,0.9849012408927008,19.26351331693333
morpho-blue_BBQUSDC_Ethereum,10.47962117977528,9.70690752808989,0.772713988764045,10.479621516853934,33.135435529661315,35.36545024659499,0.5557583147811751,33.135435120220855
morpho-blue_BBQUSDT_Ethereum,8.316487581699347,7.4205645098039215,0.8959235947712418,8.316488104575164,31.810899306603982,32.79321051304598,0.5524548699718611,31.81089250284573
morpho-blue_COUSDC_Base,7.375791265822783,7.16041341772152,0.2153786075949367,7.375792025316455,38.81381157902402,39.86293316803304,0.08583384927367738,38.813807007411214
morpho-blue_CSUSDC_Ethereum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morpho-blue_CUSDOUSDC_Ethereum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morpho-blue_EXMUSDC_Base,7.549097207792208,5.65575435064935,1.8933438961038964,7.549098246753245,11.215147223366662,4.477381101198596,6.9725295410513874,11.215147756947886
morpho-blue_FUSDC_Ethereum,8.335681774193548,8.210289838709679,0.12539209677419355,8.33568193548387,18.859998940591883,19.228822423893416,0.02890943034143311,18.859997798789635
morpho-blue_FXUSDC_Ethereum,6.477197880597014,3.6478288358208957,2.8293691940298507,6.477198029850746,51.2848297049946,27.61547396328277,19.642822982815815,51.28483480422066
morpho-blue_GTEUSDC_Ethereum,8.624266825396825,3.2989012063492065,5.325365904761905,8.624267111111111,49.52390257527779,6.338448918406183,48.86164399278859,49.52390801482634
morpho-blue_GTMSUSDC_Ethereum,4.66888737704918,4.66888737704918,0.0,4.66888737704918,5.6448257714128625,5.6448257714128625,0.0,5.6448257714128625
morpho-blue_GTUSDCCORE_Ethereum,9.512798591160221,9.018758149171271,0.49404030386740333,9.512798453038675,24.013007660716852,24.828766673819,0.44327498222733125,24.013007795141085
morpho-blue_GTUSDCC_Base,6.825534742857143,5.595551342857142,1.2299835714285714,6.825534914285714,21.10254398596082,18.621087920396757,9.160471657679759,21.102545091227928
