date,protocol,asset,chain,best_apy,tvl
2024-08-29,morpho-blue,SUSDE,Ethereum,24.07399,943245
2024-08-30,morpho-blue,SUSDE,Ethereum,24.65417,943921
2024-08-31,morpho-blue,GTEUSDC,Ethereum,14.97038,6803285
2024-09-01,morpho-blue,GTEUSDC,Ethereum,13.69201,7546194
2024-09-02,morpho-blue,SUSDE,Ethereum,27.91476,924675
2024-09-03,morpho-blue,SUSDE,Ethereum,28.58059,925075
2024-09-04,morpho-blue,SUSDE,Ethereum,29.2709,928850
2024-09-05,aave-v3,DAI,Polygon,58.66912,41863
2024-09-06,morpho-blue,SUSDE,Ethereum,35.20646,926311
2024-09-07,morpho-blue,SUSDE,Ethereum,35.8936,924048
2024-09-08,fluid-lending,USDT,Ethereum,8.55063,73613606
2024-09-09,aave-v3,DAI,Polygon,9.01511,977611
2024-09-10,morpho-blue,SUSDE,Ethereum,39.08692,924846
2024-09-11,morpho-blue,USDE,Ethereum,28.01785,1044227
2024-09-12,morpho-blue,USDE,Ethereum,30.71198,1045150
2024-09-13,morpho-blue,USDE,Ethereum,33.86991,1046424
2024-09-14,morpho-blue,USDE,Ethereum,37.37308,1048882
2024-09-15,morpho-blue,USDE,Ethereum,41.48467,1046581
2024-09-16,morpho-blue,USDE,Ethereum,46.2807,1046389
2024-09-17,morpho-blue,USDE,Ethereum,51.81373,1046259
2024-09-18,morpho-blue,USDE,Ethereum,58.64022,1046210
2024-09-19,morpho-blue,USDE,Ethereum,174.31275,1045817
2024-09-20,morpho-blue,SUSDE,Ethereum,34.25299,892652
2024-09-21,morpho-aave,USDT,Ethereum,14.63237,3645634
2024-09-22,morpho-aave,USDT,Ethereum,13.188,3645844
2024-09-23,morpho-blue,SUSDE,Ethereum,11.52081,915839
2024-09-24,morpho-blue,GTUSDC,Ethereum,20.23098,15313676
2024-09-25,morpho-blue,MC.EUSDC,Ethereum,16.85724,925473
2024-09-26,morpho-blue,USDE,Ethereum,15.61732,1010427
2024-09-27,morpho-blue,USDE,Ethereum,15.13443,1007919
2024-09-28,morpho-blue,USDE,Ethereum,119.61789,1009448
2024-09-29,morpho-blue,SUSDE,Ethereum,13.63206,854520
2024-09-30,morpho-blue,SUSDE,Ethereum,31.05841,819480
2024-10-01,aave-v3,USDC,Base,20.28668,2521925
2024-10-02,morpho-blue,SUSDE,Ethereum,15.16189,833984
2024-10-03,ethena-usde,SUSDE,Ethereum,11.39751,1095761073
2024-10-04,morpho-blue,SUSDE,Ethereum,11.25041,828531
2024-10-05,morpho-blue,PYTHUSDC,Base,12.32383,494408
2024-10-06,ethena-usde,SUSDE,Ethereum,10.88611,1125899297
2024-10-07,ethena-usde,SUSDE,Ethereum,10.90281,1124259042
2024-10-08,ethena-usde,SUSDE,Ethereum,10.79969,1134467486
2024-10-09,aave-v3,DAI,Polygon,12.7512,716398
2024-10-10,morpho-blue,USUALUSDC+,Ethereum,15.14027,57405391
2024-10-11,morpho-blue,USUALUSDC+,Ethereum,10.70112,59722272
2024-10-12,morpho-aave,USDC,Ethereum,10.156,4585182
2024-10-13,morpho-blue,STKCVXCRVUSDETHCRV-MORPHO,Ethereum,24.80166,91688
2024-10-14,morpho-aave,USDT,Ethereum,16.46445,2975082
2024-10-15,morpho-blue,STKCVXCRVUSDETHCRV-MORPHO,Ethereum,28.16834,93868
2024-10-16,morpho-blue,REUSDC,Ethereum,16.6929,1379863
2024-10-17,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,33.80289,21406
2024-10-18,morpho-aave,USDT,Ethereum,17.48966,2975466
2024-10-19,morpho-aave,USDT,Ethereum,17.50832,2981794
2024-10-20,morpho-aave,USDT,Ethereum,17.81765,2981864
2024-10-21,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,37.87192,21631
2024-10-22,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,40.51621,21458
2024-10-23,morpho-aave,USDC,Ethereum,29.15732,2513168
