,ethena-usde_SUSDE_Ethereum,aave-v3_PT-SUSDE-31JUL2025_Ethereum,aave-v3_USDT_Ethereum,aave-v3_PT-EUSDE-14AUG2025_Ethereum,morpho-blue_SPARKUSDC_Base,aave-v3_USDC_Ethereum,morpho-blue_SPDAI_Ethereum,aave-v3_SUSDE_Ethereum,fluid-lending_USDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum,aave-v3_USDE_Ethereum,fluid-lending_USDT_Ethereum,morpho-blue_STEAKUSDC_Ethereum,aave-v3_PT-USDE-31JUL2025_Ethereum,morpho-blue_PT-USDS-14AUG2025_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_PT-SYRUPUSDC-28AUG2025_Ethereum,aave-v3_USDS_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_STEAKUSDT_Ethereum,aave-v3_USDC_Arbitrum,morpho-blue_GTUSDCF_Ethereum,morpho-blue_GTUSDC_Ethereum,morpho-blue_HUSDC_Ethereum,morpho-blue_PT-SUSDE-31JUL2025_Ethereum,fluid-lending_SUSDE_Ethereum,aave-v3_PT-EUSDE-29MAY2025_Ethereum,morpho-blue_SUSDE_Ethereum,morpho-blue_PT-USDE-31JUL2025_Ethereum,morpho-blue_HYUSDC_Ethereum,euler-v2_USDC_Base,euler-v2_USDC_Ethereum,morpho-blue_IMF-USDS_Ethereum,morpho-blue_BBQDAI_Ethereum,morpho-blue_MIDASUSDC_Ethereum,morpho-blue_USDE_Ethereum,morpho-blue_USDC_Ethereum,aave-v2_USDT_Polygon,aave-v2_USDT.E_Avalanche,morpho-aave_USDC_Ethereum,morpho-blue_GTAUSDC_Ethereum,morpho-blue_OHMSUSDS_Ethereum,morpho-blue_SAFE-STEAKUSDC_Ethereum,morpho-blue_SUSDS_Ethereum,morpho-blue_APRUSDC_Base,euler-v2_SUSDS_Ethereum,euler-v2_USDE_Ethereum,morpho-blue_STKCVXCRVUSDCWBTCWETH-MORPHO_Ethereum,morpho-blue_STKCVXCRVUSDETHCRV-MORPHO_Ethereum,morpho-blue_PT-SUSDE-27FEB2025_Ethereum,morpho-blue_RE7USDCP_Ethereum,morpho-blue_INDEUSDC_Base,euler-v2_SDAI_Ethereum,morpho-blue_PYTHUSDC_Base,morpho-aave_USDT_Ethereum,morpho-compound_USDT_Ethereum,morpho-blue_MJUSDC_Base,morpho-blue_USDC_Base,morpho-blue_AUSDC_Base,morpho-blue_STKCVXCRVUSDTWBTCWETH-MORPHO_Ethereum,morpho-compound_DAI_Ethereum,morpho-blue_LUMENUSDC_Base
2024-06-16,16.88487,0.0,6.85518,0.0,0.0,7.24708,11.07044,0.0,0.0,0.0,3.03678,12.8929,7.37156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.36342,7.77684,4.97959,0.0,7.372,0.0,0.0,0.0,0.0,16.8757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64112,1.74433,10.52539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.21898,48.78134,0.0,0.0,0.0,0.0,0.0,6.8087,6.78884,0.0,0.0,0.0,48.18103,6.68067,0.0
2024-06-17,16.80761,0.0,6.81018,0.0,0.0,7.15784,11.0382,0.0,0.0,0.0,3.13137,12.724,7.15455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.23593,7.81937,4.99316,0.0,7.15688,0.0,0.0,0.0,0.0,61.21743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55724,1.73097,11.3972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.6436,47.11835,0.0,0.0,0.0,0.0,0.0,6.53117,9.45233,0.0,0.0,0.0,55.99872,6.65511,0.0
2024-06-18,16.72533,0.0,6.55649,0.0,0.0,6.72609,10.85581,0.0,0.0,0.0,4.15604,13.42586,7.32561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.28537,17.81354,5.15727,0.0,7.33374,0.0,0.0,0.0,0.0,8.74956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93859,1.64502,11.78031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.43723,49.01175,0.0,0.0,0.0,0.0,0.0,6.10532,6.46127,0.0,0.0,0.0,58.13289,6.63013,0.0
2024-06-19,16.6374,0.0,6.53168,0.0,0.0,6.86607,11.07098,0.0,0.0,0.0,4.29049,13.25217,7.95116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.70987,10.21006,5.35887,0.0,7.95089,0.0,0.0,0.0,0.0,4.89915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85022,1.64505,12.48632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.79539,48.33422,0.0,0.0,0.0,0.0,0.0,8.19848,7.77222,0.0,0.0,0.0,57.32926,6.56157,0.0
2024-06-20,10.63614,0.0,6.17518,0.0,0.0,7.19988,12.06384,0.0,0.0,0.0,4.16419,15.9068,8.02207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.61716,9.32642,5.25396,0.0,8.02173,0.0,0.0,0.0,0.0,37.41607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68331,1.68252,11.53303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.92498,37.13326,0.0,0.0,0.0,0.0,0.0,7.87649,7.73992,0.0,0.0,0.0,17.6876,6.79949,0.0
2024-06-21,10.67666,0.0,4.82948,0.0,0.0,7.13966,10.76387,0.0,0.0,0.0,3.81004,15.66351,7.27845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.16506,17.57748,5.20355,0.0,7.26726,0.0,0.0,0.0,0.0,20.56086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41688,1.68448,9.73629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.50172,31.54168,0.0,0.0,0.0,0.0,0.0,8.95569,8.03852,0.0,0.0,0.0,11.67226,10.78665,0.0
2024-06-22,10.64818,0.0,4.85682,0.0,0.0,6.97633,10.52992,0.0,0.0,0.0,3.2013,14.11149,7.33483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.24539,7.82917,5.12484,0.0,7.32128,0.0,0.0,0.0,0.0,21.17871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41111,1.64797,10.26221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.12124,32.14298,0.0,0.0,0.0,0.0,0.0,5.72383,7.42891,0.0,0.0,0.0,11.8568,10.77882,0.0
2024-06-23,10.68723,0.0,4.87886,0.0,0.0,7.43405,10.18417,0.0,0.0,0.0,3.70649,14.43235,6.98871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.87077,8.26651,7.80237,0.0,7.00677,0.0,0.0,0.0,0.0,27.83547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43633,1.64865,13.98946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.05456,26.12685,0.0,0.0,0.0,0.0,0.0,4.73745,7.96208,0.0,0.0,0.0,10.88135,7.67284,0.0
2024-06-24,10.75506,0.0,4.93514,0.0,0.0,7.32917,10.26134,0.0,0.0,0.0,3.60453,15.4998,7.14955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.34111,6.12339,5.56828,0.0,7.17595,0.0,0.0,0.0,0.0,81.24636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67556,1.64855,11.33185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5652,13.1857,0.0,0.0,0.0,0.0,0.0,17.43763,9.0382,0.0,0.0,0.0,24.16154,8.10249,0.0
2024-06-25,10.65084,0.0,4.82432,0.0,0.0,7.18243,9.41805,0.0,0.0,0.0,3.50117,15.326,7.35676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.46198,6.49287,6.44999,0.0,7.35405,0.0,0.0,0.0,0.0,71.59382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57354,1.64004,13.49729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.32809,13.08369,0.0,0.0,0.0,0.0,0.0,13.76349,3.61997,0.0,0.0,0.0,23.97463,8.14504,0.0
